127.0.0.1 - - [04/Feb/2026:20:12:02 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [04/Feb/2026:20:12:03 +0530] "GET /02-Servlet-WebApp/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Feb/2026:20:12:03 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Feb/2026:20:12:10 +0530] "GET /02-Servlet-WebApp/first HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [04/Feb/2026:20:12:14 +0530] "GET /02-Servlet-WebApp/first HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [04/Feb/2026:20:12:26 +0530] "GET /02-Servlet-WebApp/First HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [04/Feb/2026:20:12:49 +0530] "GET /02-Servlet-WebApp/First HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [04/Feb/2026:20:12:50 +0530] "GET /02-Servlet-WebApp/First HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [04/Feb/2026:20:12:57 +0530] "GET /02-Servlet-WebApp/First HTTP/1.1" 404 779
